Name,Address,Author Name,Rating,Review,Time
Klub Polaco,"Jorge Luis Borges 2076, C1425 CABA, Argentina",Bianca Ritorto,5,"If you are looking for some quality comfort food, look no further. The ambiance is super nice, the beer is great, and there are so many tasty dishes to pick from. Good place to gather with some friends or for an after office!",2 months ago
Klub Polaco,"Jorge Luis Borges 2076, C1425 CABA, Argentina",Kat Sam,5,"So good! Great beer (both Honey and IPA were well brewed and flavorful). The food is also delicious! ZAPIEKANKAS! We loved the La France. Wonderful and helpful service. Unique and cool atmosphere (art, furniture, music—all great choices)",2 months ago
Klub Polaco,"Jorge Luis Borges 2076, C1425 CABA, Argentina",Verónica Serrano,5,"Great place to have a drink and get a little bit closer to Polish culture, they do have different beers and cider, they also offer Zapiekankas (polish street food) and you must try the Pierogi, these are.really good. We loved them. They have a outdoor space with a Mandarine tree that is really good for staying outside during hot days.. otherwise they do have an indoors area that is perfect for a more intimate experience. Worth visiting for chilling out and try something new.",a year ago
Klub Polaco,"Jorge Luis Borges 2076, C1425 CABA, Argentina",Jason Straubinger,5,nice and quiet location in the backyard. many beers and cocktails to choose from. self service concept.,7 months ago
Klub Polaco,"Jorge Luis Borges 2076, C1425 CABA, Argentina",Einar Coutin,5,"I'm biased since I romanticize Poland... And this place has the best burger we've had in Baires, the Polski. That bum with the chives and mayo sauce..to die for. And don't forget the Wodka, like honeywater just like in Sienkiewickz books. Did I mention the ambience? Totally hip loungy place.",3 years ago
Desarmadero Bar,"Gorriti 4295, C1414 CABA, Argentina",Petr Vasicek,5,"Very laid back place, great beer selection, attentive staff. Empanada de Osobuco al Malbec is delicious, best empanada I yet had in Argentina.",9 months ago
Desarmadero Bar,"Gorriti 4295, C1414 CABA, Argentina",João Peres,5,"Nice hall of beers, and acceptable prices. The burguer was very good, the fries was a little bit soggy, but not by much.",in the last week
Desarmadero Bar,"Gorriti 4295, C1414 CABA, Argentina",Giulia Sampogna - Like Wanderlust,5,"This place got my attention from the first second I arrived there. Such a cool entrance. It was full, so many people drinking, talking and enjoying there time. I couldn’t find a place to seat, so we decided to seat outside (even with the rain). After our friends arrived we found a nice rooftop. We had delicious beers and of course fernet con coca (Argentinian drink). We ordered a burger and it was delicious as well. I really enjoyed this place. Hope to go again.",3 years ago
Desarmadero Bar,"Gorriti 4295, C1414 CABA, Argentina",Leonardo Sigales,5,"Amazing place in Palermo to enjoy a great Argentinean crafts. 23 different styles.  The waiters are pretty attentive and service was really fast, even at a very crowded Friday night. Also, the appetizers are very good.",4 years ago
Desarmadero Bar,"Gorriti 4295, C1414 CABA, Argentina",Francisco Almeida,5,"This is one of my favorite craft beer bars in Palermo. The reason why this place is not your typical local craft beer bar is because they try (and succeed) to offer a large variety of beers and not just the normal staple of styles that most places have.

They offer Sours, NEIPA, IPA Milkshakes, etc.  and some of the breweries represented on the menu are the best breweries making beer today.

Apart from that, the place looks so cool. You just have to see it in person to take it all in properly.

The beer in this picture is a Tropical Saison by Cerveza Minga and Juguetes Perdidos Cerveza Artesanal for example. It's an excelent beer.

If you are serious about craft beer then this place should be a must for you.",3 years ago
